activity_id,week,day,date,distance_km,duration_min,cadence_spm,vertical_oscillation_cm,ground_contact_time_ms,step_speed_loss_pct,heart_rate_bpm,pace_min_km,power_watts,aerobic_te,improvement_phase
synthetic_1001,1,1,2025-02-02,8.01,30.1,165.99,8.44,268.84,7.59,148.27,3.76,216.0,1.9,early
synthetic_1002,1,2,2025-02-04,9.36,46.5,165.99,8.44,268.84,7.59,148.27,4.97,216.0,1.9,early
synthetic_1003,1,3,2025-02-06,8.37,61.2,165.99,8.44,268.84,7.59,148.27,7.31,216.0,1.9,early
synthetic_1004,2,1,2025-03-02,9.6,36.0,165.98,8.38,268.37,7.39,141.73,3.75,213.0,1.6,early
synthetic_1005,2,2,2025-03-04,5.22,72.5,165.98,8.38,268.37,7.39,141.73,13.89,213.0,1.6,early
synthetic_1006,2,3,2025-03-06,8.08,35.8,165.98,8.38,268.37,7.39,141.73,4.43,213.0,1.6,early
synthetic_1007,3,1,2025-04-02,9.75,61.8,166.49,8.31,267.5,7.17,134.71,6.34,210.0,1.2,early
synthetic_1008,3,2,2025-04-04,6.09,40.0,166.49,8.31,267.5,7.17,134.71,6.57,210.0,1.2,early
synthetic_1009,3,3,2025-04-06,10.38,35.0,166.49,8.31,267.5,7.17,134.71,3.37,210.0,1.2,early
synthetic_1010,4,1,2025-05-02,8.22,59.7,166.6,8.38,266.63,7.33,127.72,7.26,207.0,1.0,early
synthetic_1011,4,2,2025-05-04,10.57,56.6,166.6,8.38,266.63,7.33,127.72,5.35,207.0,1.0,early
synthetic_1012,4,3,2025-05-06,11.47,65.7,166.6,8.38,266.63,7.33,127.72,5.73,207.0,1.0,early
synthetic_1013,5,1,2025-06-02,11.8,40.2,167.06,8.31,266.87,7.06,127.65,3.41,208.0,1.0,early
synthetic_1014,5,2,2025-06-04,5.33,44.3,167.06,8.31,266.87,7.06,127.65,8.31,208.0,1.0,early
synthetic_1015,5,3,2025-06-06,10.24,69.0,167.06,8.31,266.87,7.06,127.65,6.74,208.0,1.0,early
synthetic_1016,6,1,2025-07-02,5.92,38.8,167.48,8.26,265.89,7.19,124.61,6.55,207.0,1.0,mid
synthetic_1017,6,2,2025-07-04,6.14,54.2,167.48,8.26,265.89,7.19,124.61,8.83,207.0,1.0,mid
synthetic_1018,6,3,2025-07-06,4.38,68.4,167.48,8.26,265.89,7.19,124.61,15.62,207.0,1.0,mid
synthetic_1019,7,1,2025-08-02,7.46,51.2,167.53,8.25,264.43,6.94,119.38,6.86,205.0,1.0,mid
synthetic_1020,7,2,2025-08-04,11.75,70.7,167.53,8.25,264.43,6.94,119.38,6.02,205.0,1.0,mid
synthetic_1021,7,3,2025-08-06,9.48,48.6,167.53,8.25,264.43,6.94,119.38,5.13,205.0,1.0,mid
synthetic_1022,8,1,2025-09-02,6.7,47.5,168.01,8.26,263.85,6.91,116.38,7.09,204.0,1.0,mid
synthetic_1023,8,2,2025-09-04,7.89,53.7,168.01,8.26,263.85,6.91,116.38,6.81,204.0,1.0,mid
synthetic_1024,8,3,2025-09-06,8.39,60.0,168.01,8.26,263.85,6.91,116.38,7.15,204.0,1.0,mid
synthetic_1025,9,1,2025-10-02,11.83,38.9,168.32,8.17,263.33,6.83,110.14,3.29,202.0,1.0,mid
synthetic_1026,9,2,2025-10-04,6.75,76.5,168.32,8.17,263.33,6.83,110.14,11.33,202.0,1.0,mid
synthetic_1027,9,3,2025-10-06,4.84,49.5,168.32,8.17,263.33,6.83,110.14,10.23,202.0,1.0,mid
synthetic_1028,10,1,2025-11-02,9.27,74.5,168.2,8.16,263.84,6.61,107.88,8.04,200.0,1.0,mid
synthetic_1029,10,2,2025-11-04,4.35,42.1,168.2,8.16,263.84,6.61,107.88,9.68,200.0,1.0,mid
synthetic_1030,10,3,2025-11-06,4.93,62.6,168.2,8.16,263.84,6.61,107.88,12.7,200.0,1.0,mid
synthetic_1031,11,1,2025-12-02,8.39,52.1,168.46,8.14,262.75,6.55,101.21,6.21,198.0,1.0,mid
synthetic_1032,11,2,2025-12-04,7.48,74.3,168.46,8.14,262.75,6.55,101.21,9.93,198.0,1.0,mid
synthetic_1033,11,3,2025-12-06,6.26,45.0,168.46,8.14,262.75,6.55,101.21,7.19,198.0,1.0,mid
synthetic_1034,12,1,2025-13-02,6.97,57.8,169.3,8.1,263.2,6.47,104.81,8.29,201.0,1.0,advanced
synthetic_1035,12,2,2025-13-04,6.11,44.5,169.3,8.1,263.2,6.47,104.81,7.28,201.0,1.0,advanced
synthetic_1036,12,3,2025-13-06,9.47,48.9,169.3,8.1,263.2,6.47,104.81,5.16,201.0,1.0,advanced
synthetic_1037,13,1,2025-14-02,7.02,42.0,169.46,8.09,261.73,6.32,96.51,5.98,197.0,1.0,advanced
synthetic_1038,13,2,2025-14-04,6.8,40.6,169.46,8.09,261.73,6.32,96.51,5.97,197.0,1.0,advanced
synthetic_1039,13,3,2025-14-06,11.25,36.0,169.46,8.09,261.73,6.32,96.51,3.2,197.0,1.0,advanced
synthetic_1040,14,1,2025-15-02,5.54,39.5,169.7,8.05,261.54,6.32,94.45,7.13,197.0,1.0,advanced
synthetic_1041,14,2,2025-15-04,4.38,46.2,169.7,8.05,261.54,6.32,94.45,10.55,197.0,1.0,advanced
synthetic_1042,14,3,2025-15-06,4.34,34.0,169.7,8.05,261.54,6.32,94.45,7.83,197.0,1.0,advanced
synthetic_1043,15,1,2025-16-02,7.7,67.5,170.0,8.06,260.04,6.07,85.5,8.77,193.0,1.0,advanced
synthetic_1044,15,2,2025-16-04,8.03,72.1,170.0,8.06,260.04,6.07,85.5,8.98,193.0,1.0,advanced
synthetic_1045,15,3,2025-16-06,11.29,56.9,170.0,8.06,260.04,6.07,85.5,5.04,193.0,1.0,advanced
synthetic_1046,16,1,2025-17-02,10.51,73.8,170.01,8.03,259.9,5.97,82.52,7.02,191.0,1.0,advanced
synthetic_1047,16,2,2025-17-04,7.3,76.6,170.01,8.03,259.9,5.97,82.52,10.49,191.0,1.0,advanced
synthetic_1048,16,3,2025-17-06,4.3,41.5,170.01,8.03,259.9,5.97,82.52,9.65,191.0,1.0,advanced
