activity_id,week,day,date,distance_km,duration_min,cadence_spm,vertical_oscillation_cm,ground_contact_time_ms,step_speed_loss_pct,heart_rate_bpm,pace_min_km,power_watts,aerobic_te,improvement_phase
synthetic_1001,1,1,2025-02-02,10.34,33.2,165.52,8.45,267.99,7.26,143.59,3.21,213.0,1.7,early
synthetic_1002,1,2,2025-02-04,11.13,69.3,165.52,8.45,267.99,7.26,143.59,6.23,213.0,1.7,early
synthetic_1003,1,3,2025-02-06,7.0,69.9,165.52,8.45,267.99,7.26,143.59,9.99,213.0,1.7,early
synthetic_1004,2,1,2025-03-02,10.18,69.8,164.78,8.28,265.4,7.37,134.41,6.86,207.0,1.2,early
synthetic_1005,2,2,2025-03-04,9.95,70.5,164.78,8.28,265.4,7.37,134.41,7.09,207.0,1.2,early
synthetic_1006,2,3,2025-03-06,7.81,76.4,164.78,8.28,265.4,7.37,134.41,9.78,207.0,1.2,early
synthetic_1007,3,1,2025-04-02,10.91,42.4,164.59,8.3,267.35,7.15,131.25,3.89,205.0,1.1,early
synthetic_1008,3,2,2025-04-04,8.9,41.1,164.59,8.3,267.35,7.15,131.25,4.62,205.0,1.1,early
synthetic_1009,3,3,2025-04-06,10.85,68.1,164.59,8.3,267.35,7.15,131.25,6.28,205.0,1.1,early
synthetic_1010,4,1,2025-05-02,11.47,66.1,164.18,8.16,266.61,7.09,126.14,5.76,201.0,1.0,early
synthetic_1011,4,2,2025-05-04,6.54,35.2,164.18,8.16,266.61,7.09,126.14,5.38,201.0,1.0,early
synthetic_1012,4,3,2025-05-06,9.98,34.2,164.18,8.16,266.61,7.09,126.14,3.43,201.0,1.0,early
synthetic_1013,5,1,2025-06-02,11.38,71.0,164.18,8.17,265.7,6.62,126.0,6.24,201.0,1.0,early
synthetic_1014,5,2,2025-06-04,8.15,73.2,164.18,8.17,265.7,6.62,126.0,8.98,201.0,1.0,early
synthetic_1015,5,3,2025-06-06,8.81,46.3,164.18,8.17,265.7,6.62,126.0,5.26,201.0,1.0,early
synthetic_1016,6,1,2025-07-02,7.91,68.3,164.05,8.05,263.03,6.64,118.25,8.63,197.0,1.0,early
synthetic_1017,6,2,2025-07-04,6.47,38.0,164.05,8.05,263.03,6.64,118.25,5.87,197.0,1.0,early
synthetic_1018,6,3,2025-07-06,5.05,68.9,164.05,8.05,263.03,6.64,118.25,13.64,197.0,1.0,early
synthetic_1019,7,1,2025-08-02,11.03,52.2,163.59,8.04,263.64,6.77,123.37,4.73,199.0,1.0,mid
synthetic_1020,7,2,2025-08-04,8.19,71.4,163.59,8.04,263.64,6.77,123.37,8.72,199.0,1.0,mid
synthetic_1021,7,3,2025-08-06,5.42,59.5,163.59,8.04,263.64,6.77,123.37,10.98,199.0,1.0,mid
synthetic_1022,8,1,2025-09-02,4.7,53.1,162.42,7.97,262.56,6.51,111.6,11.3,191.0,1.0,mid
synthetic_1023,8,2,2025-09-04,9.64,76.7,162.42,7.97,262.56,6.51,111.6,7.96,191.0,1.0,mid
synthetic_1024,8,3,2025-09-06,7.66,70.2,162.42,7.97,262.56,6.51,111.6,9.16,191.0,1.0,mid
synthetic_1025,9,1,2025-10-02,4.74,59.2,162.67,7.94,261.22,6.51,107.65,12.49,189.0,1.0,mid
synthetic_1026,9,2,2025-10-04,7.32,79.7,162.67,7.94,261.22,6.51,107.65,10.89,189.0,1.0,mid
synthetic_1027,9,3,2025-10-06,9.46,33.6,162.67,7.94,261.22,6.51,107.65,3.55,189.0,1.0,mid
synthetic_1028,10,1,2025-11-02,10.34,73.9,161.62,7.81,260.64,6.3,102.93,7.15,185.0,1.0,advanced
synthetic_1029,10,2,2025-11-04,4.12,65.5,161.62,7.81,260.64,6.3,102.93,15.9,185.0,1.0,advanced
synthetic_1030,10,3,2025-11-06,9.49,79.2,161.62,7.81,260.64,6.3,102.93,8.35,185.0,1.0,advanced
synthetic_1031,11,1,2025-12-02,8.28,35.2,161.56,7.8,260.47,6.13,103.62,4.25,185.0,1.0,advanced
synthetic_1032,11,2,2025-12-04,7.49,52.4,161.56,7.8,260.47,6.13,103.62,7.0,185.0,1.0,advanced
synthetic_1033,11,3,2025-12-06,6.94,52.3,161.56,7.8,260.47,6.13,103.62,7.54,185.0,1.0,advanced
synthetic_1034,12,1,2025-13-02,6.59,77.9,161.59,7.8,259.05,6.0,91.19,11.82,179.0,1.0,advanced
synthetic_1035,12,2,2025-13-04,10.79,35.0,161.59,7.8,259.05,6.0,91.19,3.24,179.0,1.0,advanced
synthetic_1036,12,3,2025-13-06,6.97,45.7,161.59,7.8,259.05,6.0,91.19,6.56,179.0,1.0,advanced
synthetic_1037,13,1,2025-14-02,8.55,50.8,161.27,7.67,258.19,5.88,91.91,5.94,178.0,1.0,advanced
synthetic_1038,13,2,2025-14-04,4.45,54.5,161.27,7.67,258.19,5.88,91.91,12.25,178.0,1.0,advanced
synthetic_1039,13,3,2025-14-06,8.94,57.6,161.27,7.67,258.19,5.88,91.91,6.44,178.0,1.0,advanced
synthetic_1040,14,1,2025-15-02,11.9,76.5,160.59,7.58,256.04,5.86,86.74,6.43,175.0,1.0,advanced
synthetic_1041,14,2,2025-15-04,9.26,69.6,160.59,7.58,256.04,5.86,86.74,7.52,175.0,1.0,advanced
synthetic_1042,14,3,2025-15-06,11.72,47.7,160.59,7.58,256.04,5.86,86.74,4.07,175.0,1.0,advanced
synthetic_1043,15,1,2025-16-02,11.9,55.9,160.43,7.57,256.33,5.7,81.79,4.7,172.0,1.0,advanced
synthetic_1044,15,2,2025-16-04,9.69,56.2,160.43,7.57,256.33,5.7,81.79,5.8,172.0,1.0,advanced
synthetic_1045,15,3,2025-16-06,6.58,49.1,160.43,7.57,256.33,5.7,81.79,7.46,172.0,1.0,advanced
synthetic_1046,16,1,2025-17-02,6.52,64.1,159.97,7.46,255.84,5.58,80.12,9.83,170.0,1.0,advanced
synthetic_1047,16,2,2025-17-04,9.38,31.3,159.97,7.46,255.84,5.58,80.12,3.34,170.0,1.0,advanced
synthetic_1048,16,3,2025-17-06,8.92,50.9,159.97,7.46,255.84,5.58,80.12,5.71,170.0,1.0,advanced
